phase,t_s,x,y,bed_c,nozzle_c,z
conditioning,26,85.0,55.0,33.0,33.8,0.114415
conditioning,45,30.0,45.0,32.9,33.9,0.078127
conditioning,64,85.0,55.0,32.9,33.9,0.110480
conditioning,84,30.0,45.0,32.9,33.9,0.079512
cold,163,85.0,55.0,32.8,33.9,0.104318
cold,183,30.0,45.0,32.9,33.9,0.078669
cold,262,85.0,55.0,32.8,34.0,0.105236
cold,281,30.0,45.0,32.8,34.0,0.080686
cold,374,85.0,55.0,32.8,34.0,0.108792
cold,393,30.0,45.0,32.8,34.0,0.081665
noz_hot,536,85.0,55.0,32.9,210.8,0.132540
noz_hot,555,30.0,45.0,32.9,210.2,0.145470
noz_hot,774,85.0,55.0,34.7,209.7,0.125924
noz_hot,793,30.0,45.0,34.8,209.7,0.131317
noz_hot,1022,85.0,55.0,36.4,210.1,0.114973
noz_hot,1041,30.0,45.0,36.5,210.2,0.124645
noz_hot,1260,85.0,55.0,37.7,209.7,0.107852
noz_hot,1279,30.0,45.0,37.8,209.8,0.116696
cooled,1678,85.0,55.0,38.0,46.8,0.103615
cooled,1697,30.0,45.0,38.0,46.1,0.090863
cooled,1776,85.0,55.0,37.8,44.0,0.097362
cooled,1802,30.0,45.0,37.7,43.8,0.077366
cooled,1881,85.0,55.0,37.5,42.3,0.097739
cooled,1907,30.0,45.0,37.5,42.1,0.075722
