phase,t_s,x,y,bed_c,nozzle_c,z
conditioning,26,70.0,45.0,37.4,38.6,0.102983
conditioning,44,85.0,55.0,37.3,38.5,0.114006
conditioning,63,70.0,45.0,37.3,38.5,0.090540
conditioning,81,85.0,55.0,37.2,38.5,0.120516
cold,160,70.0,45.0,37.1,38.4,0.076250
cold,179,85.0,55.0,37.0,38.4,0.114773
cold,324,70.0,45.0,36.8,38.2,0.073295
cold,342,85.0,55.0,36.8,38.3,0.115018
bed_hot,558,70.0,45.0,59.5,38.2,0.062629
bed_hot,583,85.0,55.0,60.8,38.4,0.122298
bed_hot,739,70.0,45.0,60.5,39.8,0.115766
bed_hot,764,85.0,55.0,60.4,40.0,0.125939
bed_hot,912,70.0,45.0,60.2,41.7,0.114960
bed_hot,937,85.0,55.0,60.2,41.9,0.132956
bed_hot,1156,70.0,45.0,60.1,43.7,0.110264
bed_hot,1181,85.0,55.0,60.1,43.8,0.127449
bed_hot,1466,70.0,45.0,60.1,45.4,0.103883
bed_hot,1491,85.0,55.0,60.2,45.5,0.117533
noz_hot,1573,70.0,45.0,59.9,211.1,0.109733
noz_hot,1597,85.0,55.0,59.9,210.2,0.145738
noz_hot,1876,70.0,45.0,60.0,210.1,0.127674
noz_hot,1901,85.0,55.0,60.0,209.8,0.112342
noz_hot,2300,70.0,45.0,60.0,209.9,0.123113
noz_hot,2317,85.0,55.0,60.0,209.6,0.160826
cooled,4942,70.0,45.0,38.4,39.8,0.121994
cooled,4967,85.0,55.0,38.3,39.7,0.123174
cooled,5171,70.0,45.0,37.8,38.9,0.109129
cooled,5197,85.0,55.0,37.7,38.8,0.112104
