# freq=73.18 accel_per_hz=120.0 speed=0.3000
# win_n=217 step_z=0.00998
# warmup=0.800
# halt_floor=1.0000,1.0000,1.0000
# deriv_floor=off,off,off
# drawdown_thresh=unset,unset,unset
# trigger_kind=None trigger_axis=None
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,14424.377,590.266,1487.922
0.00998,14448.452,518.945,1586.027
0.01996,14434.046,452.478,1560.206
0.02994,14521.945,441.026,1726.825
0.03992,14541.476,485.308,1698.223
0.04991,14374.117,521.429,1521.312
0.05989,14587.990,462.619,1799.448
0.06987,14816.054,444.643,2075.403
0.07985,14716.519,503.976,1850.070
0.08983,14652.332,567.438,1732.353
0.09980,14713.198,463.593,1950.745
0.10978,14644.199,387.587,1903.403
0.11976,14433.252,488.261,1668.045
0.12973,14381.299,537.465,1592.664
0.13971,14451.674,561.016,1682.850
0.14969,14459.886,493.804,1541.081
0.15967,14441.851,459.404,1501.215
0.16965,14519.486,454.296,1564.384
0.17962,14529.609,491.175,1575.948
0.18960,14527.563,439.198,1680.238
0.19958,14523.314,471.749,1757.836
0.20957,14513.632,480.028,1754.387
0.21955,14520.000,463.951,1794.083
0.22952,14360.129,527.162,1575.332
0.23951,14400.633,540.966,1526.181
0.24949,14430.876,482.998,1561.263
0.25947,14430.640,493.506,1650.635
0.26945,14346.989,509.946,1574.317
0.27943,14384.322,461.971,1484.029
0.28940,14489.922,458.341,1570.941
0.29938,14483.256,399.248,1684.637
0.30936,14402.185,482.526,1571.654
0.31934,14590.206,429.697,1730.245
0.32932,14688.841,388.214,1843.102
0.33930,14501.820,498.558,1655.922
0.34928,14361.870,558.804,1578.049
0.35926,14407.087,471.845,1685.636
0.36924,14533.395,353.810,1931.505
0.37921,14641.335,334.762,1983.225
0.38919,14582.695,412.421,1775.879
0.39917,14487.580,422.380,1598.318
0.40915,14340.857,447.431,1452.251
0.41913,14403.201,523.644,1456.865
0.42911,14573.881,499.330,1648.022
0.43909,14546.261,440.413,1676.645
0.44907,14342.395,551.996,1529.762
0.45905,14338.058,545.154,1694.773
0.46903,14396.288,495.803,1686.254
0.47901,14280.544,565.154,1570.111
0.48899,14453.741,524.173,1846.285
0.49897,14427.090,525.799,1713.143
0.50895,14558.342,504.160,1689.974
0.51893,14647.879,464.622,1811.450
0.52891,14520.789,465.076,1790.117
0.53888,14480.404,467.618,1874.436
0.54886,14327.767,529.186,1604.067
0.55884,14375.756,517.105,1684.650
0.56882,14379.472,474.720,1651.387
0.57880,14436.749,548.426,1683.865
0.58878,14491.634,577.667,1817.245
0.59876,14495.608,536.170,1804.597
0.60874,14472.661,508.039,1778.017
0.61871,14435.041,492.448,1806.274
0.62869,14408.414,564.022,1784.640
0.63867,14440.881,512.059,1832.143
0.64865,14493.862,398.521,1814.231
0.65863,14349.558,504.730,1642.064
0.66861,14276.903,509.538,1564.115
0.67859,14468.365,486.053,1749.832
0.68857,14470.692,494.980,1718.447
0.69855,14421.225,501.120,1595.422
0.70853,14527.589,462.092,1744.973
0.71851,14700.126,411.177,1998.456
0.72849,14570.063,445.666,1834.908
0.73847,14382.147,564.728,1502.832
0.74844,14422.008,577.763,1536.485
0.75842,14460.484,618.645,1591.815
0.76841,14607.382,486.422,1753.974
0.77839,14692.855,422.421,1865.939
0.78836,14530.012,535.632,1804.471
0.79834,14472.544,573.617,1745.001
0.80832,14409.597,553.284,1670.889
0.81830,14312.289,537.096,1503.896
0.82828,14360.438,539.908,1591.687
0.83826,14450.652,431.382,1751.940
0.84824,14579.135,369.441,1817.653
0.85822,14715.693,329.054,1872.835
0.86820,14693.355,338.111,1859.808
0.87818,14484.336,467.117,1689.595
0.88816,14462.683,494.490,1619.625
0.89815,14405.076,506.550,1596.166
0.90812,14321.471,544.140,1587.819
0.91810,14469.100,495.716,1777.969
0.92808,14459.653,589.648,1778.048
0.93806,14358.947,624.995,1565.532
0.94804,14512.638,488.442,1624.248
0.95802,14529.985,473.647,1799.738
0.96800,14451.162,537.487,1602.251
0.97798,14446.310,516.935,1602.850
0.98796,14480.591,430.611,1744.574
0.99794,14412.010,447.402,1694.579
1.00792,14389.864,551.401,1683.694
1.01790,14563.828,441.499,1820.427
