# freq=73.00 accel_per_hz=120.0 speed=1.0000
# win_n=87 step_z=0.03002
# warmup=0.800
# halt_floor=0.0620,0.5220,0.3400
# deriv_floor=0.0930,0.7830,0.5100
# drawdown_thresh=0.2051,1.0090,0.6225
# trigger_kind=None trigger_axis=None
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,18421.160,1000.217,2989.253
0.02999,18184.336,976.169,2676.799
0.05998,17986.694,738.241,2705.612
0.08998,17759.205,873.788,2611.425
0.11997,18460.464,998.327,3098.970
0.14996,18359.022,1045.939,2683.369
0.17995,18053.340,993.674,2608.262
0.20994,18473.529,1232.781,2677.934
0.23994,17894.365,653.892,2803.692
0.26993,17599.093,953.375,2551.320
0.29992,18828.745,992.625,2911.091
0.32992,18529.807,991.557,3065.387
0.35992,17570.549,973.379,2527.698
0.38992,18079.622,741.997,2929.454
0.41992,18803.891,1026.237,2924.370
0.44992,18127.845,882.321,2801.087
0.47992,17765.295,896.892,2689.090
0.50992,18237.658,1019.851,2380.539
0.53992,18813.504,1207.150,2811.533
0.56992,17858.100,911.604,2432.397
0.59992,18588.546,831.638,3100.914
0.62992,17687.302,905.371,2517.119
0.65992,18404.299,842.803,2817.737
0.68992,18085.746,1122.002,2605.573
0.71993,17310.849,1168.806,2400.967
0.74993,18351.218,1089.254,2707.017
0.77993,17900.975,877.051,2693.474
0.80993,18365.549,1139.431,3074.414
0.83993,17425.488,920.924,2375.154
0.86993,18125.171,1039.105,2810.500
0.89994,18383.708,1051.697,2757.476
0.92994,18010.276,989.317,2841.604
0.95995,17789.515,840.470,2600.311
0.98995,17983.040,1013.876,2578.212
1.01996,18174.716,949.064,2729.327
1.04997,18016.837,1011.973,2644.817
1.07997,18067.358,1337.155,2763.014
1.10998,18382.462,1165.538,2695.414
1.13998,18356.101,1113.671,3045.154
1.16999,17849.683,819.572,2641.792
1.19999,17852.509,1006.095,2685.716
1.22999,18384.174,1129.479,2773.621
1.25999,18031.521,865.127,2893.078
