# freq=54.70 accel_per_hz=120.0 speed=0.2000
# win_n=351 step_z=0.01000
# warmup=0.800
# halt_floor=0.0380,0.1840,0.1240
# deriv_floor=0.0800,0.2760,0.1860
# drawdown_thresh=unset,unset,unset
# trigger_kind=None trigger_axis=None
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,3985.342,493.602,78.126
0.01000,3968.713,470.255,79.072
0.02000,3975.422,468.772,64.195
0.03000,3973.115,467.761,63.576
0.04000,3959.202,456.785,72.871
0.05000,3957.037,457.811,68.626
0.06000,3960.505,460.677,44.361
0.07000,3948.560,476.298,44.466
0.08000,3918.723,451.117,51.822
0.09000,3917.871,420.336,64.493
0.10000,3914.366,425.236,75.274
0.11001,3925.825,415.116,58.392
0.12001,3912.635,403.522,62.663
0.13001,3925.318,433.665,56.032
0.14001,3907.522,412.171,61.602
0.15001,3908.385,412.474,50.833
0.16001,3879.048,408.466,52.656
0.17001,3889.201,401.321,70.143
0.18001,3889.991,410.565,69.197
0.19001,3905.295,403.461,56.703
