# freq=54.70 accel_per_hz=120.0 speed=0.2000
# win_n=351 step_z=0.01000
# warmup=0.800
# halt_floor=0.0380,0.1840,0.1240
# deriv_floor=0.0800,0.2760,0.1860
# drawdown_thresh=0.1000,0.1056,0.2364
# trigger_kind=drawdown trigger_axis=1
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,6090.668,848.079,330.828
0.01000,6096.006,864.175,305.234
0.02000,6076.557,880.009,321.237
0.03000,6092.882,880.300,329.648
0.04000,6098.725,858.110,331.230
0.05000,6081.535,826.477,328.205
0.06000,6068.523,826.144,302.609
0.07000,6074.780,847.063,313.891
0.08000,6100.880,858.319,329.146
0.09000,6094.446,866.532,316.548
0.09999,6094.014,870.741,326.760
0.11000,6092.736,861.123,337.135
0.12000,6105.881,859.106,347.313
0.13000,6076.467,864.164,328.552
0.14000,6100.660,827.570,332.660
0.15000,6076.390,839.300,329.788
0.16000,6098.309,869.874,329.876
0.17000,6105.276,905.001,334.368
0.18000,6117.050,880.979,316.044
0.19000,6077.410,833.959,309.241
0.20000,6078.278,838.184,324.137
0.21000,6065.937,839.941,325.515
0.22000,6096.546,833.824,318.784
0.23000,6072.513,845.414,322.673
0.23999,6083.221,845.935,327.966
0.24999,6077.207,841.707,321.199
0.25999,6071.856,857.267,316.254
0.26999,6078.038,865.185,306.480
0.28000,6110.188,840.195,325.708
0.29000,6083.280,840.716,317.862
0.30000,6097.786,862.029,313.799
0.31000,6070.935,843.311,306.885
0.32000,6073.298,834.153,317.783
0.33000,6088.095,834.246,330.476
0.34000,6071.581,838.945,333.477
0.34999,6083.083,828.743,339.185
0.35999,6086.544,861.700,344.207
0.36999,6101.470,883.534,334.555
0.37999,6090.794,875.781,339.864
0.38999,6120.757,857.716,340.520
0.39999,6098.861,846.444,330.395
0.40999,6081.041,860.203,312.647
0.41999,6060.752,863.840,335.379
0.42999,6096.986,850.399,359.521
0.43999,6095.153,861.202,348.856
0.44999,6083.397,848.358,315.663
0.45999,6043.173,850.649,326.514
0.46999,6076.474,869.012,339.614
0.47999,6059.241,867.541,332.670
0.48999,6070.047,842.455,326.682
0.49999,6040.104,825.394,332.653
0.50999,6066.345,851.122,332.192
0.51999,6074.329,850.204,327.635
0.52999,6102.890,858.999,324.403
0.53999,6074.411,873.940,318.436
0.54998,6065.609,878.516,298.660
0.55998,6054.058,873.234,314.397
0.56998,6081.081,854.205,326.300
0.57998,6065.886,841.792,320.655
0.58998,6074.181,864.921,319.417
0.59998,6067.227,869.019,321.770
0.60998,6074.591,876.046,329.549
0.61999,6051.350,862.788,329.513
0.62999,6069.777,867.186,333.764
0.63999,6073.048,860.248,327.388
0.64998,6086.692,851.006,333.996
0.65998,6093.616,834.369,331.526
0.66998,6091.556,858.328,333.661
0.67998,6079.561,870.080,319.598
0.68998,6096.126,859.231,354.160
0.69998,6098.814,877.226,337.310
0.70998,6084.722,872.632,333.732
0.71998,6079.277,871.219,311.726
0.72998,6070.292,880.122,311.377
0.73998,6073.818,880.721,318.227
0.74998,6071.197,876.033,351.302
0.75999,6089.427,858.685,343.293
0.76999,6078.825,828.934,321.849
0.77999,6106.240,821.111,317.053
0.78999,6080.744,835.559,319.297
0.79999,6095.248,830.283,322.303
0.80999,6091.913,848.798,335.206
0.81999,6109.160,875.521,337.998
0.82999,6084.363,875.485,322.689
0.83999,6098.526,879.396,323.249
0.84999,6073.511,868.707,331.031
0.85999,6091.604,898.373,331.339
0.86999,6085.945,889.414,331.800
0.87999,6082.928,864.067,340.968
0.88999,6063.531,865.213,316.196
0.89999,6075.325,847.040,317.528
0.90999,6080.805,847.947,327.002
0.91999,6090.307,870.471,335.767
0.92999,6062.804,866.411,319.102
0.93999,6090.226,854.789,336.711
0.94999,6085.475,868.586,331.109
0.95999,6084.335,884.220,326.778
0.96999,6074.755,872.894,321.359
0.97999,6088.396,870.069,325.683
0.98999,6074.683,885.719,321.215
0.99999,6058.402,880.292,321.393
1.00999,6086.737,868.276,327.479
1.01999,6094.116,870.384,350.334
1.02999,6085.884,853.396,356.503
1.03999,6067.342,858.663,338.660
1.04999,6069.488,838.251,323.039
1.05999,6063.847,829.114,313.041
1.06999,6078.724,835.628,318.677
1.07999,6066.739,827.425,329.208
1.08999,6088.703,846.743,324.279
1.09999,6071.132,866.986,323.285
1.10999,6079.485,843.183,326.003
1.11999,6046.989,854.046,342.807
1.12999,6067.573,854.296,339.394
1.13999,6077.886,857.890,333.370
1.14999,6078.669,850.658,330.392
