# freq=87.70 accel_per_hz=120.0 speed=0.2000
# win_n=182 step_z=0.00998
# warmup=0.800
# halt_floor=0.2000,0.2000,0.2000
# deriv_floor=0.3000,0.3000,0.3000
# drawdown_thresh=unset,unset,unset
# trigger_kind=derivative trigger_axis=1
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,8152.204,107.161,1430.976
0.00998,8174.905,121.112,1384.946
0.01997,8202.723,82.963,1429.021
0.02995,8103.485,65.855,1409.732
0.03994,8062.557,73.461,1424.284
0.04992,8103.131,82.094,1395.650
0.05990,8138.262,91.537,1476.100
0.06989,8157.816,79.061,1389.189
0.07987,8133.514,82.344,1429.539
0.08985,8173.406,94.378,1396.772
0.09984,8180.488,67.091,1464.690
0.10982,8162.873,95.380,1420.124
0.11980,8130.495,62.604,1437.879
0.12978,8173.887,43.905,1411.296
0.13977,8182.322,76.550,1411.546
0.14975,8233.255,49.573,1447.575
0.15973,8226.726,74.460,1428.422
0.16971,8166.324,96.917,1410.370
0.17970,8189.899,82.570,1470.733
0.18968,8193.598,35.893,1416.024
0.19966,8233.757,91.581,1441.831
0.20964,8167.092,17.381,1444.968
0.21963,8167.762,107.543,1397.392
0.22961,8090.445,119.694,1384.924
0.23959,8163.791,45.125,1450.076
0.24958,8099.623,53.867,1396.089
0.25956,8160.506,79.130,1403.092
0.26954,8131.699,94.144,1414.389
0.27953,8162.321,61.104,1401.204
0.28951,8227.818,63.705,1415.788
0.29949,8152.450,66.753,1430.984
0.30947,8152.194,65.090,1462.441
0.31945,8177.621,56.204,1443.792
0.32944,8153.299,82.146,1446.809
0.33942,8208.322,117.263,1405.135
0.34940,8248.186,92.916,1435.171
0.35939,8097.252,72.049,1436.810
0.36937,8189.741,44.941,1423.509
0.37935,8159.753,137.903,1356.313
0.38933,8234.846,96.032,1478.290
0.39932,8238.128,66.961,1531.213
