# freq=112.70 accel_per_hz=120.0 speed=0.2000
# win_n=141 step_z=0.01000
# warmup=0.800
# halt_floor=0.0560,0.3530,0.0870
# deriv_floor=0.0840,0.5295,0.1305
# drawdown_thresh=0.1000,2.2812,0.1481
# trigger_kind=derivative trigger_axis=1
# halt_gradient=0
# note=textured-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,3001.211,96.730,989.143
0.01000,2998.828,53.507,971.511
0.02000,3021.962,49.109,1003.562
0.03000,3049.723,115.751,971.396
0.04000,2991.886,93.130,957.720
0.05000,2986.784,87.097,1003.229
0.06000,3035.415,85.292,992.264
0.07000,3031.778,41.537,995.152
0.08000,2952.094,92.364,971.814
0.09000,3004.738,79.901,954.214
0.10000,3012.378,55.350,1006.024
0.11000,2990.915,85.862,1012.950
0.12000,3013.640,135.996,994.924
0.13000,3009.988,157.719,971.800
0.14000,3007.721,72.469,995.335
0.15000,2951.775,71.582,963.431
0.16000,3020.350,105.492,1003.997
0.17000,2993.432,90.951,980.346
0.18000,2971.832,40.599,984.290
0.19000,2960.837,90.595,983.818
0.20000,2975.065,63.362,991.291
0.21001,2999.835,119.042,989.567
0.22001,3020.224,67.895,1018.236
0.23001,3018.237,82.051,1009.560
0.24001,3003.896,71.542,1010.124
0.25001,2984.069,100.047,1034.393
0.26001,3008.202,79.760,1019.832
0.27001,2969.670,85.609,993.451
0.28001,2983.550,48.877,971.459
0.29002,2969.673,75.831,1004.935
0.30002,3025.185,91.983,1043.984
0.31002,2947.016,104.194,998.374
0.32002,2971.034,112.067,963.068
0.33002,2996.627,104.813,981.371
0.34002,3011.318,87.313,1007.386
0.35002,3006.213,76.351,999.969
0.36002,2989.446,110.877,968.407
0.37002,3006.375,98.140,995.058
0.38002,2968.973,82.731,983.200
0.39002,2993.988,161.685,993.323
0.40002,2990.556,86.628,983.648
0.41002,2963.565,92.779,969.478
0.42002,2973.045,142.991,953.711
0.43002,2998.150,88.246,1001.807
0.44002,2973.346,77.053,983.439
0.45002,2994.956,102.862,998.392
0.46002,3022.848,113.790,983.352
0.47002,3001.673,63.341,1017.496
0.48002,2940.909,79.333,981.661
0.49002,3006.844,102.519,978.759
0.50002,3009.209,63.109,974.819
0.51002,2952.426,119.955,990.583
0.52002,2985.103,118.147,984.525
0.53002,3003.612,106.467,985.060
0.54002,2995.888,72.744,992.115
0.55002,2948.782,83.374,962.714
0.56002,2995.366,65.024,996.672
0.57002,3023.708,111.264,1008.428
0.58002,2962.812,87.983,958.735
0.59002,3017.659,148.247,974.532
0.60002,2996.301,138.287,1017.725
0.61002,3000.861,82.997,968.036
0.62003,2984.819,77.771,961.108
0.63003,3010.929,83.742,990.497
0.64003,3022.883,88.937,1015.805
0.65003,3009.397,96.238,1010.857
0.66003,3006.940,99.920,972.172
0.67003,3000.982,131.056,972.179
0.68003,2931.517,134.038,962.015
0.69003,2997.125,76.755,1005.102
0.70003,2996.806,101.317,1025.666
0.71003,2939.886,58.134,973.196
0.72003,3002.410,59.058,954.521
0.73003,3004.835,91.722,1000.352
0.74003,3034.659,78.596,981.823
0.75003,2985.682,67.283,987.936
0.76003,3000.207,114.837,973.283
0.77004,2987.071,61.085,960.047
0.78004,2994.665,92.898,958.894
0.79004,2977.630,83.726,969.061
0.80004,2994.877,67.522,1000.404
0.81004,2959.988,66.113,978.305
0.82004,2976.599,109.717,1016.444
0.83004,3001.351,76.153,972.972
0.84004,2998.143,117.776,995.379
0.85004,2994.553,99.560,981.145
0.86004,2984.372,94.971,963.831
0.87004,2973.769,151.228,990.074
0.88004,2985.183,79.758,964.409
0.89005,2984.241,91.513,983.905
0.90005,2950.047,94.422,977.387
0.91005,2971.677,45.321,975.327
0.92005,2981.571,45.723,953.870
0.93005,2985.494,67.945,965.220
0.94005,2982.895,66.722,937.207
0.95005,2954.748,78.830,953.193
0.96005,2988.545,54.065,962.724
0.97005,2997.194,60.473,998.415
0.98005,2967.323,108.849,949.933
0.99005,3020.113,65.270,968.645
1.00005,3024.512,69.148,1009.734
1.01006,2946.314,89.941,951.562
1.02005,2991.939,91.200,965.801
1.03005,3020.654,74.268,1025.533
1.04005,2993.648,134.169,980.646
1.05005,2987.310,54.584,966.038
1.06006,2992.872,56.084,996.905
1.07006,2991.681,57.262,997.940
1.08006,2957.404,49.505,956.895
1.09006,3016.605,99.780,998.015
1.10006,2999.860,65.151,1002.544
1.11006,2972.761,111.374,965.015
1.12006,2978.050,124.869,985.762
1.13006,2968.703,108.543,950.482
1.14006,2987.184,105.215,931.590
1.15006,2992.514,104.083,933.215
1.16006,3016.229,71.226,987.645
1.17006,2972.339,129.126,954.697
1.18007,3002.766,119.872,949.033
1.19007,3009.596,84.845,1013.565
1.20007,3037.573,24.405,988.446
1.21007,3013.898,90.190,950.316
1.22007,3018.026,58.487,949.295
1.23007,3036.993,61.284,989.233
1.24007,2990.817,80.108,967.245
1.25007,3008.705,45.117,961.633
1.26007,3032.262,50.286,982.744
1.27007,3035.742,63.704,965.034
1.28007,2982.968,114.430,936.629
1.29007,2988.664,73.688,949.235
1.30007,3030.592,66.000,976.790
1.31007,2986.733,109.798,959.942
1.32007,3026.307,68.621,960.743
1.33007,3049.403,96.191,954.311
1.34007,2964.665,53.260,947.895
1.35007,2997.536,62.578,934.370
1.36007,2968.834,60.377,931.557
1.37007,3016.687,73.300,916.178
1.38007,2999.901,35.655,920.332
1.39007,2996.435,49.595,920.333
1.40007,3002.116,33.444,950.493
1.41007,2978.880,80.463,926.999
1.42007,3060.483,57.919,986.976
1.43007,3039.556,74.589,952.283
1.44008,3025.213,84.733,946.323
1.45008,2990.059,81.842,928.003
1.46008,3010.174,89.766,917.176
1.47008,3012.573,53.506,931.394
1.48008,3015.786,76.700,946.592
1.49008,3050.240,33.969,966.717
1.50008,3015.024,73.600,954.737
1.51008,2997.820,106.211,929.038
1.52008,3001.390,52.766,908.670
1.53008,3038.058,95.927,966.967
1.54008,2960.841,83.456,906.697
1.55008,3029.065,75.052,948.606
1.56008,3061.053,66.521,919.385
1.57008,3041.944,78.508,948.725
1.58008,3000.763,87.560,942.669
1.59008,2988.606,29.737,932.522
1.60008,3050.235,58.582,952.060
1.61008,3025.852,47.881,930.163
1.62008,3031.330,91.980,910.158
1.63008,3042.032,113.972,994.158
1.64008,3016.462,62.273,956.352
1.65008,2991.875,111.076,924.610
1.66008,3055.784,107.223,962.054
1.67008,3022.951,66.482,940.908
1.68008,3024.050,27.373,968.122
1.69008,2991.349,8.144,933.304
