# freq=112.70 accel_per_hz=120.0 speed=0.2000
# win_n=141 step_z=0.01001
# warmup=0.800
# halt_floor=1.0000,1.0000,1.0000
# deriv_floor=off,off,off
# drawdown_thresh=unset,unset,unset
# trigger_kind=None trigger_axis=None
# halt_gradient=0
# note=smooth-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,3450.645,390.147,1651.908
0.01000,3493.436,348.424,1668.250
0.02001,3467.998,445.406,1666.832
0.03002,3494.973,342.996,1671.002
0.04002,3479.740,408.533,1668.334
0.05003,3447.871,384.323,1616.167
0.06003,3486.192,405.799,1667.069
0.07004,3481.115,363.272,1645.261
0.08004,3475.540,397.382,1682.024
0.09005,3474.520,397.387,1676.996
0.10005,3477.065,422.653,1653.729
0.11006,3433.361,390.510,1641.853
0.12007,3458.536,342.239,1674.571
0.13007,3490.681,351.021,1656.197
0.14008,3493.161,375.081,1663.780
0.15008,3485.033,397.118,1648.355
0.16009,3484.146,317.444,1671.669
0.17009,3509.880,346.440,1635.477
0.18010,3437.390,405.310,1636.656
0.19010,3452.433,441.452,1660.165
0.20011,3446.601,404.991,1639.993
0.21011,3442.310,356.342,1666.975
0.22012,3471.720,345.633,1634.426
0.23012,3506.777,353.346,1626.803
0.24013,3465.073,346.636,1651.781
0.25014,3487.306,433.647,1636.854
0.26014,3451.421,368.811,1625.688
0.27015,3436.310,360.299,1623.132
0.28015,3465.346,356.951,1616.098
0.29016,3465.023,390.734,1659.805
0.30017,3460.900,421.453,1612.819
0.31017,3468.652,360.938,1598.942
0.32018,3486.824,351.519,1633.608
0.33019,3489.205,408.989,1660.679
0.34019,3429.674,410.606,1593.994
0.35020,3524.891,389.694,1697.943
0.36021,3481.506,386.547,1652.946
0.37022,3474.407,386.013,1630.345
0.38022,3480.117,411.597,1624.548
0.39023,3482.407,382.071,1655.966
0.40024,3486.863,405.342,1638.345
0.41025,3490.835,400.913,1628.561
0.42025,3505.045,342.922,1627.097
0.43026,3465.440,330.308,1630.467
0.44026,3440.281,351.140,1613.176
0.45027,3503.295,437.990,1670.339
0.46027,3456.704,358.316,1646.776
0.47028,3433.785,406.570,1605.766
0.48028,3464.889,383.094,1634.980
0.49029,3467.175,382.747,1651.868
0.50030,3469.272,400.282,1646.580
0.51030,3470.722,401.288,1659.420
0.52031,3506.348,348.779,1686.227
0.53032,3445.740,405.826,1624.080
0.54032,3464.631,412.660,1665.050
0.55033,3448.598,401.127,1632.681
0.56033,3461.143,395.981,1681.550
0.57034,3425.559,402.349,1617.466
0.58035,3517.789,327.021,1650.780
0.59035,3507.268,391.742,1625.659
0.60036,3447.106,376.033,1643.652
0.61036,3522.129,428.982,1676.402
0.62037,3518.924,420.346,1620.784
0.63037,3489.559,401.017,1640.404
0.64038,3475.049,363.680,1662.105
0.65038,3532.469,381.633,1665.167
0.66039,3545.942,384.215,1651.613
0.67039,3445.329,347.656,1648.458
0.68040,3515.832,380.175,1660.014
0.69041,3476.608,402.108,1649.005
0.70041,3481.808,421.742,1680.528
0.71042,3464.458,381.740,1664.386
0.72042,3500.393,384.139,1652.767
0.73043,3476.492,371.445,1643.572
0.74043,3439.991,369.228,1645.030
0.75044,3487.503,389.530,1663.220
0.76044,3452.257,441.636,1634.542
0.77045,3469.572,398.731,1679.243
0.78045,3490.590,437.684,1658.398
0.79046,3440.102,386.942,1660.180
0.80046,3452.948,367.633,1632.875
0.81047,3483.997,409.520,1620.253
0.82047,3460.344,381.006,1649.101
0.83048,3454.323,342.904,1638.348
0.84048,3493.465,387.085,1651.683
0.85049,3489.971,394.465,1648.654
0.86049,3453.702,340.694,1649.290
0.87050,3461.190,422.800,1647.257
0.88051,3482.850,404.886,1651.823
0.89051,3507.027,433.200,1628.343
0.90052,3519.104,372.009,1700.850
0.91052,3476.875,371.175,1653.168
0.92053,3519.856,332.656,1668.068
0.93054,3461.852,433.147,1617.587
0.94054,3488.227,357.834,1663.764
0.95054,3499.801,386.877,1640.808
0.96055,3426.760,416.004,1637.295
0.97055,3459.770,379.125,1625.643
0.98056,3468.303,390.244,1698.300
0.99057,3439.002,373.951,1640.838
1.00057,3503.201,373.827,1671.428
1.01058,3502.343,368.421,1640.435
1.02058,3418.651,368.001,1646.578
1.03059,3466.734,384.355,1651.154
1.04059,3485.722,375.243,1689.152
1.05060,3470.404,404.777,1656.415
1.06060,3455.738,393.864,1621.023
1.07061,3516.089,374.804,1665.261
1.08061,3511.354,329.179,1660.088
