# freq=112.70 accel_per_hz=120.0 speed=0.2000
# win_n=141 step_z=0.01000
# warmup=0.800
# halt_floor=0.0520,0.2850,0.0740
# deriv_floor=0.0800,0.4275,0.1110
# drawdown_thresh=0.1000,1.1115,0.1059
# trigger_kind=drawdown trigger_axis=2
# halt_gradient=0
# note=smooth-PEI-side
mm_below_arm,amp_x,amp_y,amp_z
0.00000,3134.801,234.762,1429.311
0.01001,3149.609,239.702,1437.478
0.02001,3119.099,231.007,1418.538
0.03002,3157.583,279.735,1457.349
0.04003,3154.096,269.368,1433.061
0.05003,3104.206,266.942,1456.406
0.06004,3134.660,245.192,1408.236
0.07004,3131.672,242.308,1457.396
0.08005,3133.155,259.513,1431.605
0.09006,3133.328,216.802,1467.397
0.10007,3131.103,166.110,1457.602
0.11008,3134.494,304.645,1446.886
0.12009,3102.825,276.140,1409.854
0.13009,3145.172,268.702,1423.662
0.14010,3142.137,212.987,1442.964
0.15010,3144.857,233.605,1461.812
0.16011,3172.375,284.306,1437.765
0.17012,3141.830,236.957,1462.881
0.18012,3075.649,244.550,1424.995
0.19013,3115.592,223.606,1461.095
0.20013,3152.204,301.174,1472.481
0.21014,3111.068,300.744,1406.020
0.22015,3137.600,313.913,1431.383
0.23015,3209.459,330.671,1450.484
0.24016,3155.960,295.943,1433.316
0.25017,3141.824,226.610,1460.194
0.26017,3145.961,207.146,1457.722
0.27018,3137.108,246.373,1445.793
0.28019,3150.156,244.181,1445.801
0.29020,3192.862,194.227,1477.316
0.30020,3162.697,250.621,1470.031
0.31021,3106.207,311.489,1429.817
0.32022,3147.679,240.781,1431.719
0.33022,3142.535,252.735,1445.934
0.34023,3151.358,222.921,1433.060
0.35024,3129.936,290.828,1450.510
0.36024,3169.708,217.269,1420.854
0.37025,3132.133,206.464,1421.797
0.38026,3102.157,241.533,1451.065
0.39026,3177.067,230.215,1473.010
0.40027,3147.985,200.659,1482.175
0.41027,3115.317,250.751,1425.137
0.42028,3105.773,242.668,1423.053
0.43029,3122.336,290.471,1431.526
0.44029,3113.628,205.519,1419.995
0.45030,3108.703,256.715,1452.136
0.46030,3157.119,218.722,1460.904
0.47031,3125.504,269.629,1428.383
0.48031,3162.490,274.697,1471.266
0.49032,3171.864,271.184,1452.430
0.50033,3139.518,240.051,1419.815
0.51033,3088.889,282.445,1377.709
0.52034,3145.196,265.468,1445.145
0.53034,3141.770,239.740,1446.201
0.54035,3114.992,286.363,1452.269
0.55035,3090.905,237.361,1422.494
0.56036,3151.316,233.159,1459.656
0.57037,3092.606,240.617,1447.370
0.58037,3149.568,233.036,1481.420
0.59038,3147.275,282.208,1423.161
0.60038,3090.624,329.811,1468.622
0.61039,3095.566,244.137,1426.184
0.62040,3138.575,216.342,1414.020
0.63040,3128.860,286.010,1446.969
0.64041,3086.927,234.095,1410.298
0.65042,3165.301,224.876,1497.690
0.66042,3118.364,231.176,1440.048
0.67043,3052.368,219.434,1414.420
0.68044,3136.380,261.603,1431.338
0.69045,3157.855,206.733,1460.927
0.70045,3113.394,267.923,1425.628
0.71046,3112.370,227.238,1436.940
0.72047,3146.569,306.986,1440.041
0.73047,3160.591,238.137,1443.942
0.74048,3103.845,302.798,1436.927
0.75049,3141.606,232.452,1444.442
0.76049,3112.295,249.531,1482.832
0.77050,3112.866,287.925,1451.398
0.78051,3121.299,281.371,1476.098
0.79051,3108.906,232.974,1453.632
0.80052,3144.974,234.189,1488.307
0.81052,3161.494,283.094,1399.172
0.82053,3159.031,202.344,1454.998
0.83054,3074.224,318.789,1439.461
0.84054,3093.811,236.674,1416.593
0.85055,3112.486,201.976,1441.775
0.86056,3093.094,213.330,1408.795
0.87056,3106.665,240.302,1443.455
0.88057,3191.006,230.090,1463.515
0.89057,3148.154,225.802,1450.362
0.90058,3090.071,236.706,1418.547
0.91059,3176.162,184.229,1459.337
0.92059,3106.042,252.966,1470.212
0.93060,3143.707,263.056,1459.186
0.94061,3145.566,277.379,1466.814
0.95061,3143.895,278.410,1430.942
0.96062,3099.519,250.966,1443.333
0.97063,3125.445,228.051,1436.767
0.98063,3140.970,191.769,1492.245
0.99064,3105.244,301.378,1455.156
1.00065,3145.651,251.605,1454.428
1.01065,3145.184,201.984,1438.571
1.02066,3131.978,255.281,1452.053
1.03067,3122.609,220.641,1450.964
1.04067,3149.613,257.087,1470.835
1.05068,3113.924,255.660,1436.355
1.06069,3097.702,219.321,1452.858
1.07069,3168.050,240.159,1464.945
1.08070,3143.764,299.124,1457.390
1.09071,3102.623,264.848,1436.497
1.10071,3134.918,267.708,1462.491
1.11072,3150.543,235.440,1461.531
1.12073,3121.288,249.164,1468.187
1.13073,3128.813,253.528,1464.975
1.14074,3159.591,261.499,1430.715
1.15075,3105.961,269.868,1438.475
1.16075,3079.763,296.792,1417.276
1.17076,3132.335,298.585,1437.162
1.18077,3106.699,202.850,1464.771
1.19077,3103.814,234.689,1450.631
1.20078,3107.300,197.145,1459.933
1.21079,3121.173,277.618,1511.572
1.22079,3106.347,252.532,1442.915
1.23080,3100.032,256.307,1423.515
1.24081,3113.103,278.822,1439.110
1.25081,3109.107,241.779,1454.093
1.26082,3062.381,269.291,1436.503
1.27083,3172.182,271.462,1490.287
1.28083,3115.449,274.667,1434.536
1.29084,3099.699,217.221,1465.113
1.30085,3152.931,225.217,1433.377
1.31085,3131.915,283.205,1480.886
1.32086,3118.790,259.286,1458.736
1.33086,3131.568,250.303,1410.003
1.34087,3148.576,260.217,1459.496
1.35088,3087.253,240.854,1447.596
1.36088,3115.209,282.579,1421.940
1.37089,3168.661,263.349,1457.305
1.38090,3137.753,292.205,1457.821
1.39090,3106.644,200.586,1436.164
1.40091,3161.618,238.534,1442.034
1.41092,3149.306,239.613,1421.041
1.42092,3095.091,278.326,1422.139
1.43093,3131.368,223.291,1468.261
1.44094,3129.324,251.199,1482.219
1.45094,3107.476,234.804,1426.304
1.46095,3145.181,199.946,1454.116
1.47095,3144.615,259.232,1499.484
1.48096,3115.163,282.873,1428.912
1.49097,3117.166,177.154,1430.512
1.50097,3128.608,298.341,1443.179
1.51098,3112.773,234.201,1455.904
1.52098,3096.775,234.234,1442.768
1.53099,3149.779,270.435,1480.407
1.54100,3135.801,223.519,1462.440
1.55101,3108.127,256.891,1476.646
1.56101,3122.783,271.376,1449.097
1.57102,3136.854,286.157,1449.681
1.58103,3055.208,221.941,1444.386
1.59103,3069.445,278.948,1431.473
1.60104,3116.580,243.209,1441.174
1.61105,3069.289,246.004,1418.891
1.62105,3092.045,232.234,1436.814
1.63106,3119.948,283.528,1472.021
1.64107,3066.940,236.947,1432.806
1.65107,3116.678,276.117,1443.402
1.66108,3110.974,240.266,1462.969
1.67109,3090.934,256.155,1441.781
1.68110,3043.114,250.179,1410.580
1.69110,3144.987,241.064,1447.827
1.70111,3126.371,255.097,1465.420
1.71112,3099.907,212.471,1450.636
1.72112,3145.302,231.860,1441.815
1.73113,3132.469,270.659,1469.850
1.74114,3130.412,259.138,1425.550
1.75115,3104.823,258.548,1440.292
1.76115,3142.107,255.007,1459.928
1.77116,3113.489,255.220,1443.223
1.78117,3094.331,280.223,1427.117
1.79117,3129.644,251.357,1448.413
1.80118,3129.011,307.635,1445.879
1.81119,3111.271,255.436,1460.715
1.82119,3177.544,281.148,1489.192
1.83120,3133.124,302.140,1471.661
1.84121,3102.786,265.139,1437.008
1.85121,3120.947,275.908,1467.704
1.86122,3162.006,295.661,1404.999
1.87123,2986.815,57.495,1021.677
1.88123,2718.238,87.394,826.652
