# freq=73.00 accel_per_hz=120.0 ramp_speed=0.5000
# z_cand=-0.20000 reps=1
# x=60.000 y=100.000
# air_amp=2519.732 contact_amp=1025.299
# note=textured-PEI-side
z,amp,tag,rep
0.60000,66.620,warm,-1
0.60000,802.016,warm,-1
0.60000,1692.515,warm,-1
0.60000,2228.138,warm,-1
0.60000,2149.772,warm,-1
0.60000,2028.628,warm,-1
0.60000,2379.494,warm,-1
0.60000,2585.484,warm,-1
0.60000,2494.143,warm,-1
0.60000,2229.333,warm,-1
0.60000,2404.593,warm,-1
0.60000,2752.349,warm,-1
0.60000,2563.997,warm,-1
0.60000,2516.474,warm,-1
0.60000,2652.229,warm,-1
0.60000,2566.937,warm,-1
0.60000,2632.251,warm,-1
0.60000,2599.872,warm,-1
0.60000,2590.779,warm,-1
0.60000,2785.943,warm,-1
0.60000,2638.545,warm,-1
0.60000,2466.672,warm,-1
0.60000,2508.101,warm,-1
0.60000,2539.355,warm,-1
0.60000,2511.921,warm,-1
0.58291,2664.475,down,0
0.56581,2778.275,down,0
0.54872,2785.395,down,0
0.53162,2764.499,down,0
0.51453,2688.986,down,0
0.49744,2762.237,down,0
0.48034,2716.659,down,0
0.46325,2625.021,down,0
0.44615,2932.386,down,0
0.42906,2987.447,down,0
0.40855,2849.645,down,0
0.39145,2688.403,down,0
0.37436,2504.359,down,0
0.35726,2568.469,down,0
0.34017,2551.528,down,0
0.32308,2501.940,down,0
0.30598,2541.457,down,0
0.28889,2637.514,down,0
0.27179,2668.339,down,0
0.25470,2785.135,down,0
0.23761,2777.361,down,0
0.22051,2798.308,down,0
0.20342,2869.659,down,0
0.18632,2725.162,down,0
0.16923,2669.671,down,0
0.15214,2464.814,down,0
0.13504,2086.448,down,0
0.11795,1827.560,down,0
0.10085,1534.130,down,0
0.08376,1319.874,down,0
0.06667,1350.046,down,0
0.04957,1331.768,down,0
0.03248,1314.199,down,0
0.01538,1246.145,down,0
-0.00171,1225.183,down,0
-0.01880,1266.669,down,0
-0.03590,1416.994,down,0
-0.05299,1613.980,down,0
-0.07009,1714.839,down,0
-0.08718,1453.962,down,0
-0.10427,1224.464,down,0
-0.12137,1265.554,down,0
-0.13846,1203.907,down,0
-0.15556,977.465,down,0
-0.17265,1144.244,down,0
-0.18974,1226.418,down,0
-0.20000,1155.376,contact,0
-0.20000,1176.761,contact,0
-0.20000,1039.932,contact,0
-0.20000,1017.352,contact,0
-0.20000,1138.546,contact,0
-0.20000,1261.097,contact,0
-0.20000,1283.027,contact,0
-0.20000,1153.058,contact,0
-0.20000,1025.299,contact,0
-0.20000,988.056,contact,0
-0.20000,1076.122,contact,0
-0.20000,1207.360,contact,0
-0.18632,1099.704,up,0
-0.16923,1244.845,up,0
-0.15214,1229.225,up,0
-0.13504,1192.287,up,0
-0.11795,1280.256,up,0
-0.10085,1500.643,up,0
-0.08376,1625.302,up,0
-0.06667,1475.715,up,0
-0.04957,1444.355,up,0
-0.03248,1455.533,up,0
-0.01538,1523.932,up,0
0.00171,1478.149,up,0
0.01880,1560.841,up,0
0.03590,1625.009,up,0
0.05299,1623.140,up,0
0.07009,1494.850,up,0
0.08718,1301.383,up,0
0.10427,1295.242,up,0
0.12137,1393.193,up,0
0.13846,1312.950,up,0
0.15556,1405.023,up,0
0.17265,2038.055,up,0
0.18974,2479.452,up,0
0.20684,2467.607,up,0
0.22393,2512.113,up,0
0.24103,2577.040,up,0
0.25812,2652.110,up,0
0.27521,2764.360,up,0
0.29231,2705.397,up,0
0.30940,2660.565,up,0
0.32650,2501.189,up,0
0.34359,2473.345,up,0
0.36068,2580.658,up,0
0.37778,2633.324,up,0
0.39487,2805.280,up,0
0.41197,2584.755,up,0
0.42906,2621.303,up,0
0.44615,2716.437,up,0
0.46325,2318.940,up,0
0.48034,2328.491,up,0
0.49744,2449.059,up,0
0.51453,2300.887,up,0
0.53162,2425.675,up,0
0.54872,2652.187,up,0
0.56581,2721.082,up,0
0.58291,2848.817,up,0
0.60000,2772.122,up,0
0.60000,2700.979,air,0
0.60000,2877.829,air,0
0.60000,2984.525,air,0
0.60000,2642.874,air,0
0.60000,2428.775,air,0
0.60000,2558.066,air,0
0.60000,2481.398,air,0
0.60000,2311.006,air,0
0.60000,2404.727,air,0
0.60000,2475.521,air,0
