# freq=71.88 accel_per_hz=120.0 ramp_speed=0.5000
# z_cand=0.17750 reps=1
# x=80.785 y=30.000
# air_amp=2095.880 contact_amp=1333.428
# note=textured-PEI-side
z,amp,tag,rep
0.32750,76.204,warm,-1
0.32750,557.916,warm,-1
0.32750,1515.215,warm,-1
0.32750,2012.053,warm,-1
0.32750,2087.696,warm,-1
0.32750,2050.788,warm,-1
0.32750,1932.165,warm,-1
0.32750,1818.061,warm,-1
0.32750,1938.089,warm,-1
0.32750,1903.669,warm,-1
0.32750,1984.878,warm,-1
0.32750,2260.125,warm,-1
0.32750,2271.603,warm,-1
0.32750,2116.631,warm,-1
0.32750,2011.214,warm,-1
0.32750,2020.753,warm,-1
0.32750,2112.204,warm,-1
0.32750,2088.397,warm,-1
0.32750,2062.797,warm,-1
0.32750,2061.994,warm,-1
0.32750,1890.476,warm,-1
0.32750,1957.059,warm,-1
0.32750,2117.774,warm,-1
0.32750,2108.405,warm,-1
0.32054,2147.704,down,0
0.30315,2202.946,down,0
0.28576,2293.419,down,0
0.26837,2177.648,down,0
0.25098,1977.020,down,0
0.23359,2039.815,down,0
0.21620,2058.755,down,0
0.19880,2208.017,down,0
0.18141,2275.683,down,0
0.16402,2256.113,down,0
0.14663,2109.857,down,0
0.12924,2082.190,down,0
0.11185,2074.940,down,0
0.09446,1772.695,down,0
0.07707,1642.746,down,0
0.05967,1485.040,down,0
0.04228,1625.554,down,0
0.02489,1556.380,down,0
0.00750,1385.358,down,0
-0.00989,1624.650,down,0
-0.02728,1664.049,down,0
-0.04467,1387.552,down,0
-0.06207,1459.944,down,0
-0.07250,1646.817,contact,0
-0.07250,1500.622,contact,0
-0.07250,1458.801,contact,0
-0.07250,1607.646,contact,0
-0.07250,1620.742,contact,0
-0.07250,1574.418,contact,0
-0.07250,1556.493,contact,0
-0.07250,1666.053,contact,0
-0.07250,1700.452,contact,0
-0.07250,1671.181,contact,0
-0.07250,1715.596,contact,0
-0.07250,1688.294,contact,0
-0.05859,1735.154,up,0
-0.04120,1647.696,up,0
-0.02380,1624.505,up,0
-0.00641,1529.444,up,0
0.01098,1410.526,up,0
0.02837,1421.139,up,0
0.04576,1412.934,up,0
0.06315,1301.006,up,0
0.08054,1279.811,up,0
0.09793,1333.428,up,0
0.11533,1644.375,up,0
0.13272,1813.707,up,0
0.15011,1828.209,up,0
0.16750,1918.936,up,0
0.18489,2057.789,up,0
0.20228,2125.734,up,0
0.21967,1952.294,up,0
0.23707,1924.725,up,0
0.25446,2067.774,up,0
0.27185,2019.073,up,0
0.28924,2050.821,up,0
0.30663,2179.355,up,0
0.32402,2155.741,up,0
0.32750,2203.733,air,0
0.32750,2105.600,air,0
0.32750,1995.911,air,0
0.32750,1844.782,air,0
0.32750,1931.300,air,0
0.32750,2298.047,air,0
0.32750,2201.050,air,0
0.32750,1987.079,air,0
0.32750,2103.211,air,0
0.32750,2088.550,air,0
# outcome=confirmed drop=0.3638 thresh=0.2000 step_snr=3.48 via=ratio
