# freq=72.10 accel_per_hz=120.0 ramp_speed=0.2000
# z_cand=0.03250 reps=3
# x=30.000 y=45.000
# air_amp=2237.267 contact_amp=1008.274
# note=textured-PEI-side
z,amp,tag,rep,amp_x,amp_y,amp_z
0.33250,11.308,warm,-1,19.995,11.308,13.295
0.33250,18.381,warm,-1,14.760,18.381,24.155
0.33250,20.128,warm,-1,30.186,20.128,24.071
0.33250,221.737,warm,-1,2223.849,221.737,151.288
0.33250,1289.348,warm,-1,9904.253,1289.348,936.502
0.33250,2297.235,warm,-1,15978.890,2297.235,1303.620
0.33250,2315.459,warm,-1,16970.781,2315.459,1258.308
0.33250,2230.242,warm,-1,17309.594,2230.242,1413.785
0.33250,2287.463,warm,-1,17259.852,2287.463,1249.361
0.33250,2325.650,warm,-1,17012.278,2325.650,1014.264
0.33250,2336.544,warm,-1,16779.191,2336.544,1017.696
0.33250,2246.875,warm,-1,16925.568,2246.875,1193.561
0.33250,2246.512,warm,-1,16921.866,2246.512,1191.532
0.33250,2239.795,warm,-1,16845.091,2239.795,1292.362
0.33250,2199.417,warm,-1,16920.638,2199.417,1454.228
0.33250,2133.136,warm,-1,17087.981,2133.136,1473.464
0.33250,2164.841,warm,-1,16948.300,2164.841,1344.503
0.33250,2220.663,warm,-1,16785.662,2220.663,1156.472
0.32973,2175.471,down,0,16887.295,2175.471,1076.719
0.31863,2192.461,down,0,16903.417,2192.461,1072.785
0.30754,2148.450,down,0,16904.667,2148.450,1217.277
0.29645,2123.790,down,0,17031.883,2123.790,1319.865
0.28536,2146.122,down,0,17013.011,2146.122,1272.047
0.27426,2213.435,down,0,16854.198,2213.435,1177.864
0.26317,2244.844,down,0,16775.746,2244.844,1135.734
0.25208,2153.377,down,0,17012.364,2153.377,1270.288
0.24099,2123.970,down,0,17095.812,2123.970,1421.073
0.22989,2128.359,down,0,17063.704,2128.359,1315.219
0.21880,2211.160,down,0,16860.558,2211.160,1083.554
0.20771,2236.604,down,0,16709.724,2236.604,1126.826
0.19662,2065.898,down,0,16969.705,2065.898,1292.391
0.18553,2103.496,down,0,16904.966,2103.496,1248.436
0.17443,2139.921,down,0,16825.963,2139.921,1146.691
0.16334,2136.940,down,0,16924.424,2136.940,1066.525
0.15225,2162.272,down,0,16858.162,2162.272,1087.831
0.14116,2043.480,down,0,17014.779,2043.480,1225.352
0.13006,2057.821,down,0,16872.685,2057.821,1265.694
0.11897,2076.663,down,0,16794.024,2076.663,1261.006
0.10788,2063.002,down,0,16946.658,2063.002,1268.393
0.09679,2104.940,down,0,16819.913,2104.940,1183.937
0.08569,2120.749,down,0,16838.746,2120.749,1143.094
0.07460,2157.942,down,0,16842.591,2157.942,1245.383
0.06351,2049.985,down,0,16700.848,2049.985,1363.160
0.05242,1909.763,down,0,16118.673,1909.763,1465.905
0.04132,1719.570,down,0,14990.911,1719.570,1474.852
0.03023,1667.632,down,0,13952.774,1667.632,1346.347
0.01914,1688.303,down,0,13126.284,1688.303,1201.090
0.00805,1457.377,down,0,12680.843,1457.377,1158.313
0.00250,1139.895,contact,0,12544.177,1139.895,1229.583
0.00250,1082.408,contact,0,12451.275,1082.408,1239.850
0.00250,1100.229,contact,0,12445.872,1100.229,1239.308
0.00250,1008.274,contact,0,12501.082,1008.274,1365.990
0.00250,1004.235,contact,0,12486.860,1004.235,1383.034
0.00250,1063.678,contact,0,12534.589,1063.678,1323.991
0.00250,1093.995,contact,0,12577.463,1093.995,1326.823
0.00389,1104.966,up,0,12544.769,1104.966,1312.028
0.01498,1133.588,up,0,12573.455,1133.588,1326.001
0.02607,1240.432,up,0,12563.272,1240.432,1389.628
0.03716,1488.017,up,0,12417.779,1488.017,1360.188
0.04826,1747.089,up,0,12636.857,1747.089,1330.243
