# freq=98.60 accel_per_hz=120.0 ramp_speed=0.2000
# z_cand=-0.20000 reps=1
# x=60.000 y=60.000
# air_amp=208.790 contact_amp=65.573
# note=textured-PEI-side
z,amp,tag,rep,amp_x,amp_y,amp_z
0.60000,42.447,warm,-1,27.773,42.447,48.408
0.60000,11.916,warm,-1,39.183,11.916,30.452
0.60000,18.987,warm,-1,20.152,18.987,53.582
0.60000,45.418,warm,-1,22.725,45.418,10.762
0.60000,22.840,warm,-1,19.597,22.840,8.002
0.60000,32.640,warm,-1,28.668,32.640,27.567
0.60000,18.399,warm,-1,31.852,18.399,12.339
0.60000,67.838,warm,-1,523.999,67.838,145.318
0.60000,206.979,warm,-1,3937.300,206.979,589.424
0.60000,329.626,warm,-1,6282.284,329.626,916.141
0.60000,308.842,warm,-1,5998.444,308.842,941.242
0.60000,400.345,warm,-1,6260.162,400.345,912.080
0.60000,394.889,warm,-1,6173.964,394.889,887.365
0.60000,376.868,warm,-1,6080.583,376.868,935.359
0.60000,273.964,warm,-1,6090.402,273.964,1044.589
0.60000,241.300,warm,-1,6073.048,241.300,1022.141
0.60000,282.201,warm,-1,6051.135,282.201,968.116
0.60000,261.183,warm,-1,6011.590,261.183,973.688
0.60000,289.939,warm,-1,5995.796,289.939,1002.503
0.60000,310.805,warm,-1,6018.267,310.805,1023.040
0.60000,297.493,warm,-1,6017.442,297.493,1036.855
0.60000,302.529,warm,-1,6011.021,302.529,1020.591
0.60000,293.732,warm,-1,6020.563,293.732,975.804
0.60000,213.175,warm,-1,6022.902,213.175,1006.583
0.60000,199.586,warm,-1,6047.366,199.586,1032.227
0.60000,250.453,warm,-1,6059.570,250.453,1058.471
0.60000,282.615,warm,-1,6041.973,282.615,1013.260
0.60000,253.828,warm,-1,5945.270,253.828,1006.813
0.60000,283.810,warm,-1,5968.712,283.810,1046.627
0.60000,281.207,warm,-1,5932.831,281.207,1018.073
0.60000,242.058,warm,-1,5935.045,242.058,997.039
