x,y,z_reported,z_down,z_up,bias,down_spread,up_spread,reps,freq
85.000,75.000,0.065201,0.066052,0.065201,-0.000851,0.009760,0.004539,3,172.90
20.000,25.000,0.074393,0.101477,0.074393,-0.027084,0.000000,0.000000,1,172.90
20.000,25.000,0.084129,0.098196,0.084129,-0.014066,0.000000,0.000000,1,172.90
60.000,25.000,0.109204,0.115722,0.109204,-0.006518,0.000000,0.000000,1,172.90
60.000,25.000,0.100782,0.109449,0.100782,-0.008666,0.000000,0.000000,1,172.90
100.000,25.000,0.136535,0.122753,0.136535,0.013781,0.000000,0.000000,1,172.90
100.000,25.000,0.150066,0.139450,0.150066,0.010616,0.000000,0.000000,1,172.90
100.000,62.500,0.140017,0.134570,0.140017,0.005447,0.000000,0.000000,1,172.90
100.000,62.500,0.145397,0.135190,0.145397,0.010207,0.000000,0.000000,1,172.90
60.000,62.500,0.081780,0.074715,0.081780,0.007065,0.000000,0.000000,1,172.90
60.412,61.814,0.026027,0.069197,0.026027,-0.043169,0.000000,0.000000,1,172.90
60.412,61.814,0.008255,0.012749,0.008255,-0.004494,0.000000,0.000000,1,172.90
20.000,62.500,0.117063,0.115049,0.117063,0.002014,0.000000,0.000000,1,172.90
20.000,62.500,0.114292,0.109027,0.114292,0.005265,0.000000,0.000000,1,172.90
20.000,100.000,0.105391,0.100016,0.105391,0.005376,0.000000,0.000000,1,172.90
20.000,100.000,0.106117,0.096846,0.106117,0.009271,0.000000,0.000000,1,172.90
59.750,100.760,0.113989,0.120201,0.113989,-0.006211,0.000000,0.000000,1,172.90
60.000,100.000,0.070073,0.073669,0.070073,-0.003596,0.007242,0.029188,3,172.90
60.681,99.580,0.077560,0.076906,0.077560,0.000654,0.007470,0.011566,3,172.90
60.000,100.000,0.067440,0.072363,0.067440,-0.004923,0.009867,0.011566,3,172.90
85.000,75.000,0.065479,0.075526,0.055432,-0.020094,0.012893,0.126455,3,172.90
20.000,100.000,0.043205,0.035791,0.050619,0.014828,0.010513,0.002996,3,172.90
45.000,100.000,0.073078,0.077176,0.068980,-0.008196,0.019845,0.000570,3,172.90
60.000,100.000,0.055940,0.059465,0.052415,-0.007050,0.007077,0.016482,3,172.90
75.000,100.000,0.076607,0.068315,0.084899,0.016584,0.013389,0.000851,3,172.90
100.000,100.000,0.065053,0.050622,0.079484,0.028863,0.004004,0.001331,3,172.90
60.000,25.000,0.057526,0.055399,0.059652,0.004253,0.003459,0.002423,3,172.90
60.000,50.000,0.068285,0.051075,0.085495,0.034420,0.003880,0.002862,3,172.90
