# freq=112.70 accel_per_hz=120.0 ramp_speed=0.1500
# z_cand=0.15500 reps=2
# x=90.000 y=70.000
# air_amp=62.751 contact_amp=26.262
# note=smooth-PEI-side
z,amp,tag,rep,amp_x,amp_y,amp_z
0.29500,46.731,warm,-1,27.649,46.731,32.909
0.29500,38.521,warm,-1,27.212,38.521,18.764
0.29500,25.403,warm,-1,20.000,25.403,11.113
0.29500,16.663,warm,-1,13.632,16.663,27.343
0.29500,3.333,warm,-1,39.284,3.333,15.013
0.29500,33.771,warm,-1,24.089,33.771,5.451
0.29500,25.206,warm,-1,19.381,25.206,18.548
0.29500,27.305,warm,-1,24.084,27.305,30.050
0.29500,47.524,warm,-1,22.918,47.524,18.321
0.29500,25.255,warm,-1,24.690,25.255,21.693
0.29500,26.073,warm,-1,1120.804,26.073,489.248
0.29500,69.766,warm,-1,2657.543,69.766,845.217
0.29500,110.986,warm,-1,3222.334,110.986,857.358
0.29500,26.601,warm,-1,3103.614,26.601,1076.438
0.29500,73.940,warm,-1,3100.570,73.940,1073.472
0.29500,66.379,warm,-1,3080.542,66.379,1002.370
0.29500,74.326,warm,-1,3058.781,74.326,1055.155
0.29500,90.924,warm,-1,3013.609,90.924,1017.021
0.29500,72.415,warm,-1,2999.903,72.415,1035.315
0.29500,78.637,warm,-1,3025.003,78.637,1041.144
0.29500,68.809,warm,-1,3015.115,68.809,1017.276
0.29500,47.650,warm,-1,3015.242,47.650,1018.983
0.29500,52.643,warm,-1,3034.006,52.643,1019.821
0.29500,64.090,warm,-1,3041.203,64.090,1032.572
0.29500,18.965,warm,-1,3018.909,18.965,1041.761
0.29500,42.401,warm,-1,2993.491,42.401,1054.408
0.29500,78.398,warm,-1,3036.365,78.398,1042.919
0.29500,65.445,warm,-1,3008.380,65.445,1009.388
0.29500,44.445,warm,-1,2989.581,44.445,1025.131
0.29500,45.381,warm,-1,2994.652,45.381,1017.204
0.29500,62.865,warm,-1,2967.167,62.865,1007.938
0.29500,68.918,warm,-1,2967.338,68.918,1045.918
0.29500,25.576,warm,-1,2983.524,25.576,1036.905
0.29500,24.163,warm,-1,2991.293,24.163,1050.166
0.29500,62.029,warm,-1,3023.115,62.029,1064.542
0.29500,22.410,warm,-1,3023.714,22.410,1067.805
0.29500,37.362,warm,-1,2991.965,37.362,1039.530
0.29500,69.279,warm,-1,2999.501,69.279,1048.910
0.29500,68.720,warm,-1,2997.347,68.720,1058.447
0.29500,57.047,warm,-1,2970.900,57.047,1024.068
0.29500,86.335,warm,-1,2958.143,86.335,1011.177
0.29500,62.848,warm,-1,2976.218,62.848,1027.161
0.29500,41.186,warm,-1,2961.692,41.186,1004.867
0.29500,60.634,warm,-1,2959.094,60.634,997.361
0.29500,23.273,warm,-1,2968.351,23.273,1032.615
0.29500,37.250,warm,-1,2973.002,37.250,1046.484
0.29500,22.763,warm,-1,2982.613,22.763,1042.542
0.29168,25.702,down,0,2967.345,25.702,1049.656
0.28835,46.844,down,0,3001.846,46.844,1079.765
0.28503,62.657,down,0,3005.616,62.657,1082.723
0.28170,48.533,down,0,2961.924,48.533,1037.661
0.27838,62.385,down,0,2976.159,62.385,1002.443
0.27506,73.793,down,0,2995.338,73.793,1010.117
0.27173,83.178,down,0,3010.962,83.178,1044.323
0.26841,80.312,down,0,2980.106,80.312,1075.681
0.26508,85.603,down,0,2993.617,85.603,1051.706
0.26176,64.193,down,0,3002.785,64.193,1031.892
0.25843,68.325,down,0,2987.743,68.325,1020.272
0.25511,112.852,down,0,2981.153,112.852,1014.866
0.25179,151.606,down,0,2969.583,151.606,1047.579
0.24846,132.065,down,0,2963.547,132.065,1050.126
0.24514,30.597,down,0,2981.302,30.597,1033.762
0.24181,32.687,down,0,2982.396,32.687,1044.181
0.23849,39.123,down,0,2974.374,39.123,1041.208
0.23517,25.799,down,0,2964.636,25.799,1034.186
0.23184,21.347,down,0,2993.699,21.347,1047.370
0.22852,44.474,down,0,2970.676,44.474,1016.746
0.22519,13.225,down,0,2940.516,13.225,1006.995
0.22187,12.237,down,0,2940.678,12.237,1012.652
0.21855,87.031,down,0,2956.844,87.031,1008.470
0.21522,102.054,down,0,2951.075,102.054,1027.987
0.21190,58.465,down,0,2955.934,58.465,1017.294
0.20857,32.014,down,0,2971.151,32.014,1025.231
0.20525,43.596,down,0,2980.732,43.596,1053.497
0.20193,54.855,down,0,2959.978,54.855,1030.984
0.19860,69.578,down,0,2958.165,69.578,1045.655
0.19528,71.545,down,0,2949.104,71.545,1043.534
0.19195,19.826,down,0,2950.353,19.826,1036.503
0.18863,57.960,down,0,2936.343,57.960,1023.902
0.18530,47.545,down,0,2966.785,47.545,1032.131
0.18198,68.109,down,0,2946.657,68.109,1022.445
0.17866,113.307,down,0,2942.036,113.307,1036.720
0.17533,34.816,down,0,2976.224,34.816,1070.385
0.17201,31.218,down,0,2956.465,31.218,1053.183
0.16868,33.485,down,0,2936.401,33.485,1035.080
0.16536,12.657,down,0,2971.858,12.657,1045.392
0.16204,15.425,down,0,2981.137,15.425,1044.499
0.15871,46.746,down,0,3001.525,46.746,1075.872
0.15539,49.928,down,0,2995.289,49.928,1062.716
0.15206,46.438,down,0,2966.084,46.438,1035.641
0.14874,56.292,down,0,2979.797,56.292,1051.039
0.14542,62.141,down,0,2981.290,62.141,1077.307
0.14209,51.673,down,0,2981.636,51.673,1056.932
0.13877,73.711,down,0,3004.852,73.711,1064.605
0.13544,97.222,down,0,2974.036,97.222,1024.009
0.13212,93.577,down,0,2968.211,93.577,1009.452
0.12880,90.117,down,0,2939.857,90.117,1025.325
0.12547,121.247,down,0,2905.509,121.247,1033.280
0.12215,155.782,down,0,2787.311,155.782,1034.673
0.11882,194.411,down,0,2682.075,194.411,1019.000
0.11550,265.408,down,0,2572.777,265.408,994.151
0.11217,262.974,down,0,2461.758,262.974,971.911
0.10885,263.283,down,0,2334.554,263.283,951.060
0.10553,301.805,down,0,2229.044,301.805,960.388
0.10220,341.417,down,0,2173.770,341.417,969.599
0.09888,356.565,down,0,2104.569,356.565,939.067
0.09555,422.787,down,0,1975.511,422.787,936.857
0.09223,457.735,down,0,1906.914,457.735,989.027
0.08891,458.500,down,0,1882.862,458.500,1057.201
0.08558,530.296,down,0,1819.591,530.296,1091.853
0.08226,592.646,down,0,1759.382,592.646,1092.996
0.07893,628.779,down,0,1773.283,628.779,1175.630
0.07561,648.998,down,0,1810.030,648.998,1226.679
0.07229,701.267,down,0,1823.020,701.267,1227.461
0.06896,769.138,down,0,1890.497,769.138,1252.883
0.06564,730.274,down,0,1916.624,730.274,1313.184
0.06231,665.828,down,0,1953.963,665.828,1357.342
0.05899,674.932,down,0,1970.940,674.932,1355.486
0.05566,725.427,down,0,2033.335,725.427,1385.845
0.05500,721.335,contact,0,2082.568,721.335,1412.031
0.05500,725.254,contact,0,2116.538,725.254,1385.890
0.05500,811.061,contact,0,2130.346,811.061,1359.444
0.05500,800.651,contact,0,2080.672,800.651,1371.948
0.05500,753.532,contact,0,2049.650,753.532,1378.682
0.05500,757.138,contact,0,2066.521,757.138,1362.799
0.05500,752.812,contact,0,2093.737,752.812,1356.788
0.05500,761.693,contact,0,2098.868,761.693,1350.514
0.05500,761.475,contact,0,2109.102,761.475,1374.916
0.05500,766.265,contact,0,2095.201,766.265,1367.688
0.05500,782.979,contact,0,2049.727,782.979,1308.801
0.05500,769.259,contact,0,2086.094,769.259,1308.720
0.05500,746.430,contact,0,2125.445,746.430,1343.912
0.05500,757.651,contact,0,2127.891,757.651,1359.480
0.05500,734.586,contact,0,2133.895,734.586,1369.705
0.05500,726.814,contact,0,2116.391,726.814,1355.167
0.05500,762.317,contact,0,2111.091,762.317,1341.339
0.05500,791.712,contact,0,2087.491,791.712,1344.637
0.05766,744.206,up,0,2070.719,744.206,1353.823
0.06098,746.912,up,0,2052.243,746.912,1333.832
0.06431,840.929,up,0,2046.151,840.929,1347.588
0.06763,833.198,up,0,2100.461,833.198,1382.820
0.07096,756.886,up,0,2092.456,756.886,1381.934
0.07428,751.884,up,0,2037.612,751.884,1400.589
0.07760,775.910,up,0,2035.523,775.910,1421.234
0.08093,766.190,up,0,1986.941,766.190,1391.542
0.08425,746.510,up,0,1947.627,746.510,1353.320
0.08758,722.239,up,0,1923.270,722.239,1350.104
0.09090,679.740,up,0,1909.895,679.740,1300.618
0.09422,657.749,up,0,1874.171,657.749,1270.836
0.09755,645.702,up,0,1819.271,645.702,1223.696
0.10087,604.859,up,0,1780.753,604.859,1180.324
0.10420,557.111,up,0,1847.831,557.111,1163.217
0.10752,563.609,up,0,1903.352,563.609,1155.958
0.11084,573.456,up,0,1945.458,573.456,1080.213
0.11417,504.543,up,0,2040.094,504.543,1028.728
0.11749,395.779,up,0,2157.553,395.779,1054.287
0.12082,334.704,up,0,2267.362,334.704,1048.127
0.12414,320.839,up,0,2346.464,320.839,1058.479
0.12747,341.483,up,0,2423.714,341.483,1047.315
0.13079,323.878,up,0,2524.072,323.878,1033.925
0.13411,241.432,up,0,2671.942,241.432,1046.774
0.13744,205.898,up,0,2764.486,205.898,1055.754
0.14076,165.932,up,0,2852.644,165.932,1046.385
0.14409,86.671,up,0,2931.469,86.671,1072.000
0.14741,27.258,up,0,3009.317,27.258,1099.608
0.15140,22.302,up,0,3000.202,22.302,1072.403
0.15472,49.894,up,0,3002.549,49.894,1009.514
0.15805,78.002,up,0,2988.192,78.002,1007.224
0.16137,50.541,up,0,2987.889,50.541,1032.820
0.16470,54.321,up,0,2984.467,54.321,1053.309
0.16802,81.128,up,0,2979.745,81.128,1035.410
0.17134,57.662,up,0,2968.717,57.662,1033.393
0.17467,16.128,up,0,2963.484,16.128,1012.711
0.17799,60.730,up,0,2950.160,60.730,1002.607
0.18132,73.015,up,0,2967.900,73.015,1009.942
0.18464,114.262,up,0,2984.520,114.262,1031.197
0.18796,75.479,up,0,2979.311,75.479,1039.028
0.19129,90.232,up,0,2960.426,90.232,1040.613
0.19461,133.791,up,0,2973.547,133.791,1058.722
0.19794,113.169,up,0,2990.518,113.169,1062.160
0.20126,53.275,up,0,2990.533,53.275,1037.276
0.20458,97.799,up,0,2958.979,97.799,1028.568
0.20791,121.119,up,0,2953.616,121.119,1057.159
0.21123,53.063,up,0,2949.876,53.063,1059.922
0.21456,75.489,up,0,2926.713,75.489,1027.044
0.21788,119.458,up,0,2925.745,119.458,1061.536
0.22120,72.623,up,0,2964.909,72.623,1057.272
0.22453,50.659,up,0,2968.907,50.659,1035.982
0.22785,61.357,up,0,2967.276,61.357,1037.783
0.23118,21.362,up,0,2924.676,21.362,1014.899
0.23450,59.925,up,0,2929.702,59.925,1026.789
0.23783,73.471,up,0,2940.415,73.471,1044.161
0.24115,78.450,up,0,2934.442,78.450,1021.083
0.24447,92.763,up,0,2931.729,92.763,1037.052
0.24780,53.262,up,0,2918.331,53.262,1035.644
0.25112,29.460,up,0,2932.071,29.460,1024.423
0.25445,40.129,up,0,2972.181,40.129,1042.873
0.25777,47.703,up,0,2942.696,47.703,1029.541
0.26109,36.472,up,0,2935.914,36.472,1029.103
0.26442,69.315,up,0,2958.075,69.315,1037.710
0.26774,36.394,up,0,2967.218,36.394,1045.656
0.27107,50.333,up,0,2982.296,50.333,1080.232
0.27439,71.540,up,0,2976.562,71.540,1078.229
0.27771,156.710,up,0,2965.786,156.710,1056.306
0.28104,94.201,up,0,2975.078,94.201,1033.091
0.28436,58.528,up,0,2933.066,58.528,1016.598
0.28769,55.008,up,0,2959.247,55.008,1024.788
0.29101,11.877,up,0,2979.915,11.877,1012.680
0.29434,26.262,up,0,2962.237,26.262,991.553
0.29500,56.423,air,0,2940.607,56.423,1016.686
0.29500,78.063,air,0,2958.194,78.063,1065.989
0.29500,85.219,air,0,2930.012,85.219,1041.984
0.29500,32.863,air,0,2939.849,32.863,1022.444
0.29500,11.718,air,0,2990.208,11.718,1035.000
0.29500,55.634,air,0,2965.843,55.634,1022.640
0.29500,45.784,air,0,2969.265,45.784,1017.895
0.29500,83.962,air,0,2975.386,83.962,1019.482
0.29500,52.520,air,0,2967.430,52.520,1040.653
0.29500,50.188,air,0,2978.096,50.188,1070.464
