# freq=112.70 accel_per_hz=120.0 ramp_speed=0.3000
# z_cand=0.11750 reps=2
# x=60.000 y=45.000
# air_amp=922.872 contact_amp=369.494
# note=smooth-PEI-side
z,amp,tag,rep,amp_x,amp_y,amp_z
0.25750,17.652,warm,-1,23.286,34.652,17.652
0.25750,34.752,warm,-1,14.596,38.198,34.752
0.25750,18.454,warm,-1,19.212,5.091,18.454
0.25750,31.221,warm,-1,24.069,50.507,31.221
0.25750,9.003,warm,-1,14.415,36.432,9.003
0.25750,59.108,warm,-1,207.429,35.299,59.108
0.25750,544.810,warm,-1,1710.305,105.911,544.810
0.25750,831.095,warm,-1,2971.483,57.272,831.095
0.25750,807.510,warm,-1,3005.935,30.937,807.510
0.25750,878.770,warm,-1,3017.782,56.322,878.770
0.25750,816.233,warm,-1,2952.892,59.363,816.233
0.25750,899.807,warm,-1,2981.150,17.399,899.807
0.25750,918.289,warm,-1,2982.662,51.272,918.289
0.25750,923.958,warm,-1,2998.679,70.479,923.958
0.25750,899.654,warm,-1,2963.071,29.414,899.654
0.25750,867.167,warm,-1,2914.678,86.795,867.167
0.25750,895.621,warm,-1,2925.667,92.862,895.621
0.25750,908.716,warm,-1,2937.819,56.182,908.716
0.25750,895.590,warm,-1,2941.560,85.418,895.590
0.25750,886.090,warm,-1,2924.344,110.871,886.090
0.25750,870.326,warm,-1,2900.457,154.086,870.326
0.25750,870.610,warm,-1,2916.608,127.102,870.610
0.25750,914.501,warm,-1,2937.508,18.857,914.501
0.25750,922.407,warm,-1,2936.421,29.939,922.407
0.25750,882.996,warm,-1,2911.795,68.609,882.996
0.25750,889.672,warm,-1,2899.443,76.381,889.672
0.25750,915.548,warm,-1,2911.425,38.557,915.548
0.25750,913.208,warm,-1,2937.018,12.861,913.208
0.25750,895.375,warm,-1,2923.320,52.653,895.375
0.25750,886.355,warm,-1,2877.358,44.585,886.355
0.25750,897.256,warm,-1,2872.852,59.286,897.256
0.25750,914.842,warm,-1,2916.672,96.820,914.842
0.25750,898.877,warm,-1,2895.627,82.211,898.877
0.25750,878.905,warm,-1,2891.563,84.218,878.905
0.25750,901.103,warm,-1,2900.373,55.139,901.103
0.25750,911.212,warm,-1,2903.603,67.432,911.212
0.25750,899.995,warm,-1,2915.364,52.705,899.995
0.25750,883.137,warm,-1,2905.591,20.033,883.137
0.25750,899.927,warm,-1,2879.495,34.815,899.927
0.25750,887.749,warm,-1,2860.612,53.409,887.749
0.25750,873.399,warm,-1,2874.169,62.480,873.399
0.25750,870.817,warm,-1,2884.535,54.306,870.817
0.25350,888.036,down,0,2867.306,76.241,888.036
0.24683,908.018,down,0,2859.161,74.296,908.018
0.24017,911.437,down,0,2881.894,41.297,911.437
0.23350,888.121,down,0,2891.248,108.944,888.121
0.22683,884.598,down,0,2881.300,91.478,884.598
0.22017,921.610,down,0,2877.715,45.311,921.610
0.21350,930.793,down,0,2898.546,74.476,930.793
0.20683,928.598,down,0,2882.560,112.999,928.598
0.20017,916.902,down,0,2873.488,69.016,916.902
0.19350,897.413,down,0,2862.204,19.063,897.413
0.18683,886.032,down,0,2871.212,37.819,886.032
0.18017,867.266,down,0,2855.038,45.116,867.266
0.17350,867.943,down,0,2851.394,90.167,867.943
0.16683,880.835,down,0,2882.954,111.937,880.835
0.16017,921.331,down,0,2927.610,92.875,921.331
0.15350,922.919,down,0,2907.822,98.659,922.919
0.14683,883.946,down,0,2871.832,54.246,883.946
0.14017,876.133,down,0,2851.769,93.239,876.133
0.13350,889.556,down,0,2838.042,117.463,889.556
0.12683,880.412,down,0,2819.687,70.644,880.412
0.12017,900.828,down,0,2848.943,31.269,900.828
0.11350,884.253,down,0,2835.746,52.453,884.253
0.10683,901.692,down,0,2862.069,61.666,901.692
0.10017,905.066,down,0,2864.449,73.719,905.066
0.09350,886.844,down,0,2841.700,82.280,886.844
0.08683,877.729,down,0,2733.692,124.482,877.729
0.08017,888.277,down,0,2630.400,164.317,888.277
0.07350,839.264,down,0,2460.994,196.098,839.264
0.06683,777.457,down,0,2324.229,135.191,777.457
0.06017,744.541,down,0,2175.350,130.053,744.541
0.05350,676.712,down,0,2055.926,158.614,676.712
0.04683,574.050,down,0,1955.892,207.448,574.050
0.04017,547.713,down,0,1867.198,241.091,547.713
0.03350,573.890,down,0,1909.772,320.744,573.890
0.02683,575.356,down,0,1960.346,343.093,575.356
0.02017,538.232,down,0,2023.957,267.921,538.232
0.01750,481.273,contact,0,2085.886,232.011,481.273
0.01750,390.918,contact,0,2112.536,221.971,390.918
0.01750,372.581,contact,0,2116.292,171.642,372.581
0.01750,378.524,contact,0,2117.217,130.405,378.524
0.01750,378.088,contact,0,2142.847,135.007,378.088
0.01750,386.236,contact,0,2160.766,157.842,386.236
0.01750,399.514,contact,0,2135.852,118.563,399.514
0.01750,369.103,contact,0,2127.819,94.498,369.103
0.01750,352.640,contact,0,2137.642,112.814,352.640
0.01750,369.494,contact,0,2145.593,127.638,369.494
0.01750,392.460,contact,0,2172.093,118.408,392.460
0.01750,421.540,contact,0,2192.357,103.667,421.540
0.01750,424.462,contact,0,2191.488,105.941,424.462
0.01750,376.250,contact,0,2158.128,143.088,376.250
0.01750,371.566,contact,0,2144.599,210.256,371.566
0.01750,391.317,contact,0,2175.719,142.345,391.317
0.01750,392.956,contact,0,2175.550,82.769,392.956
0.01750,413.717,contact,0,2147.892,151.129,413.717
0.02150,389.235,up,0,2116.026,166.517,389.235
0.02817,395.741,up,0,2119.644,151.041,395.741
0.03483,448.157,up,0,2101.802,127.210,448.157
0.04150,496.365,up,0,2056.342,154.230,496.365
0.04817,508.558,up,0,1991.052,188.509,508.558
0.05483,483.406,up,0,1902.004,205.557,483.406
0.06150,476.801,up,0,1946.531,210.886,476.801
0.06817,515.338,up,0,1972.063,173.424,515.338
0.07483,576.546,up,0,2075.965,135.027,576.546
0.08150,682.245,up,0,2265.338,104.016,682.245
0.08817,781.653,up,0,2416.443,164.485,781.653
0.09483,866.637,up,0,2583.931,192.613,866.637
0.10150,936.179,up,0,2726.866,150.943,936.179
0.10817,966.679,up,0,2872.374,110.444,966.679
0.11483,958.798,up,0,2905.467,95.175,958.798
0.12150,874.937,up,0,2896.456,66.643,874.937
0.12817,893.427,up,0,2876.320,72.388,893.427
0.13483,923.115,up,0,2892.011,101.785,923.115
0.14150,870.062,up,0,2879.388,98.321,870.062
0.14817,851.000,up,0,2881.270,120.536,851.000
0.15483,900.925,up,0,2925.342,97.314,900.925
0.16283,927.985,up,0,2930.800,101.323,927.985
0.16950,925.570,up,0,2900.206,80.890,925.570
0.17617,915.506,up,0,2888.013,82.887,915.506
0.18283,919.188,up,0,2893.870,109.142,919.188
0.18950,923.731,up,0,2892.181,75.416,923.731
0.19617,913.796,up,0,2873.512,41.041,913.796
0.20283,902.873,up,0,2912.950,60.196,902.873
0.20950,925.009,up,0,2916.090,101.594,925.009
0.21617,926.037,up,0,2885.848,85.582,926.037
0.22283,929.941,up,0,2861.758,70.338,929.941
0.22950,921.003,up,0,2855.847,58.844,921.003
0.23617,891.410,up,0,2860.070,76.212,891.410
0.24283,893.449,up,0,2874.550,102.783,893.449
0.24950,944.708,up,0,2858.883,93.118,944.708
0.25617,939.858,up,0,2872.434,110.584,939.858
0.25750,908.008,air,0,2902.395,88.874,908.008
0.25750,915.870,air,0,2922.992,65.111,915.870
0.25750,917.627,air,0,2935.311,45.508,917.627
0.25750,934.600,air,0,2914.157,38.819,934.600
0.25750,951.049,air,0,2894.849,62.637,951.049
0.25750,897.352,air,0,2904.453,62.652,897.352
0.25750,920.509,air,0,2905.836,104.416,920.509
0.25750,926.551,air,0,2876.687,86.104,926.551
