# freq=112.70 accel_per_hz=120.0 ramp_speed=0.3000
# z_cand=-0.20000 reps=1
# x=25.000 y=25.000
# air_amp=521.115 contact_amp=385.080
# note=smooth-PEI-side
z,amp,tag,rep,amp_x,amp_y,amp_z
0.60000,44.939,warm,-1,21.972,19.130,44.939
0.60000,24.409,warm,-1,16.808,5.846,24.409
0.60000,20.597,warm,-1,41.087,46.392,20.597
0.60000,23.830,warm,-1,36.470,56.684,23.830
0.60000,10.422,warm,-1,21.386,63.202,10.422
0.60000,10.672,warm,-1,22.671,27.283,10.672
0.60000,25.648,warm,-1,19.297,36.282,25.648
0.60000,339.215,warm,-1,2085.595,193.722,339.215
0.60000,580.732,warm,-1,4050.035,393.512,580.732
0.60000,536.594,warm,-1,4190.653,383.762,536.594
0.60000,520.040,warm,-1,4340.080,404.893,520.040
0.60000,503.304,warm,-1,4304.217,348.687,503.304
0.60000,522.301,warm,-1,4359.578,328.435,522.301
0.60000,515.277,warm,-1,4327.567,342.146,515.277
0.60000,485.050,warm,-1,4305.705,379.899,485.050
0.60000,434.969,warm,-1,4283.892,372.147,434.969
0.60000,475.361,warm,-1,4320.724,352.581,475.361
0.60000,487.899,warm,-1,4338.645,412.823,487.899
0.60000,515.057,warm,-1,4328.613,443.508,515.057
0.60000,483.817,warm,-1,4308.620,375.667,483.817
0.60000,455.228,warm,-1,4279.834,393.023,455.228
0.60000,485.467,warm,-1,4283.835,460.751,485.467
0.60000,501.347,warm,-1,4303.787,407.581,501.347
0.60000,477.008,warm,-1,4308.347,365.094,477.008
0.60000,478.376,warm,-1,4320.131,414.499,478.376
0.60000,477.777,warm,-1,4304.883,418.120,477.777
0.60000,479.522,warm,-1,4283.077,371.040,479.522
0.60000,513.486,warm,-1,4303.499,404.926,513.486
0.60000,525.595,warm,-1,4306.711,432.036,525.595
0.60000,510.121,warm,-1,4306.546,409.868,510.121
0.60000,516.064,warm,-1,4317.838,377.004,516.064
0.60000,519.677,warm,-1,4291.278,350.393,519.677
0.60000,492.783,warm,-1,4307.305,308.724,492.783
0.60000,483.660,warm,-1,4325.000,352.713,483.660
0.60000,500.082,warm,-1,4278.358,411.588,500.082
0.60000,495.440,warm,-1,4294.286,387.312,495.440
0.60000,473.021,warm,-1,4288.438,371.699,473.021
0.60000,469.801,warm,-1,4279.529,379.480,469.801
0.60000,486.918,warm,-1,4318.869,396.845,486.918
0.60000,519.021,warm,-1,4338.573,403.721,519.021
0.60000,506.140,warm,-1,4328.699,401.939,506.140
0.60000,461.472,warm,-1,4312.929,351.722,461.472
0.60000,471.652,warm,-1,4288.781,359.601,471.652
0.59734,481.145,down,0,4247.708,386.329,481.145
0.59068,431.318,down,0,4204.894,371.034,431.318
0.58403,426.166,down,0,4207.946,407.182,426.166
0.57737,458.381,down,0,4230.236,458.169,458.381
0.57072,475.781,down,0,4218.236,456.995,475.781
0.56406,473.912,down,0,4236.386,453.601,473.912
0.55740,473.208,down,0,4243.597,421.773,473.208
0.55075,466.147,down,0,4239.502,379.715,466.147
0.54409,464.796,down,0,4259.249,382.174,464.796
0.53744,443.824,down,0,4254.422,384.112,443.824
0.53078,448.171,down,0,4228.897,423.415,448.171
0.52413,462.067,down,0,4211.275,426.281,462.067
0.51747,494.288,down,0,4233.749,389.919,494.288
0.51082,497.047,down,0,4241.520,349.982,497.047
0.50416,470.561,down,0,4241.199,302.252,470.561
0.49750,454.956,down,0,4211.451,340.625,454.956
0.49085,462.609,down,0,4196.476,414.011,462.609
0.48419,488.906,down,0,4227.349,404.897,488.906
0.47754,488.286,down,0,4243.980,415.756,488.286
0.47088,464.958,down,0,4248.516,415.213,464.958
0.46423,440.611,down,0,4260.263,427.656,440.611
0.45757,449.715,down,0,4231.768,421.646,449.715
0.45092,483.879,down,0,4257.056,389.886,483.879
0.44426,480.881,down,0,4263.372,372.394,480.881
0.43760,463.210,down,0,4249.602,363.392,463.210
0.43095,466.853,down,0,4210.006,405.199,466.853
0.42429,479.137,down,0,4221.667,424.903,479.137
0.41764,465.895,down,0,4224.628,417.245,465.895
0.41098,468.964,down,0,4257.113,415.168,468.964
0.40433,462.381,down,0,4241.011,426.057,462.381
0.39767,441.191,down,0,4236.971,436.718,441.191
0.39101,448.860,down,0,4228.925,375.211,448.860
0.38436,458.338,down,0,4235.918,423.077,458.338
0.37770,485.787,down,0,4242.114,418.826,485.787
0.37105,481.081,down,0,4253.957,380.367,481.081
0.36439,454.312,down,0,4236.797,404.623,454.312
0.35774,463.297,down,0,4242.579,416.403,463.297
0.35108,458.192,down,0,4225.601,400.187,458.192
0.34443,451.633,down,0,4237.388,415.909,451.633
0.33777,449.364,down,0,4221.171,415.462,449.364
0.33111,413.088,down,0,4216.989,399.100,413.088
0.32446,422.397,down,0,4207.800,416.192,422.397
0.31780,447.669,down,0,4216.837,420.258,447.669
0.31115,463.681,down,0,4228.239,398.040,463.681
0.30449,457.140,down,0,4230.221,382.723,457.140
0.29784,470.109,down,0,4199.806,362.905,470.109
0.29118,468.785,down,0,4223.674,353.952,468.785
0.28453,443.935,down,0,4216.432,347.335,443.935
0.27787,460.044,down,0,4218.302,356.147,460.044
0.27121,445.569,down,0,4226.116,367.659,445.569
0.26456,428.986,down,0,4211.869,384.847,428.986
0.25790,474.479,down,0,4211.947,394.451,474.479
0.25125,475.404,down,0,4229.601,343.285,475.404
0.24459,465.098,down,0,4226.125,338.569,465.098
0.23794,481.595,down,0,4240.327,368.529,481.595
0.23128,487.107,down,0,4244.900,373.614,487.107
0.22463,468.834,down,0,4246.729,349.318,468.834
0.21797,476.385,down,0,4236.898,350.941,476.385
0.21131,498.106,down,0,4238.089,373.559,498.106
0.20466,475.149,down,0,4243.957,378.022,475.149
0.19800,491.765,down,0,4283.072,374.786,491.765
0.19135,517.621,down,0,4289.740,358.230,517.621
0.18469,465.459,down,0,4235.695,345.854,465.459
0.17804,461.328,down,0,4222.345,384.244,461.328
0.17138,488.602,down,0,4241.204,411.143,488.602
0.16473,511.055,down,0,4262.730,383.519,511.055
0.15807,485.971,down,0,4268.332,399.168,485.971
0.15141,478.885,down,0,4245.215,425.629,478.885
0.14476,502.805,down,0,4265.695,397.132,502.805
0.13810,486.642,down,0,4267.041,347.120,486.642
0.13145,483.261,down,0,4256.949,329.205,483.261
0.12346,470.367,down,0,4263.966,340.336,470.367
0.11681,457.862,down,0,4238.456,358.499,457.862
0.11015,478.745,down,0,4227.173,399.374,478.745
0.10349,470.570,down,0,4244.769,400.916,470.570
0.09684,462.902,down,0,4243.581,344.110,462.902
0.09018,461.206,down,0,4250.564,387.314,461.206
0.08353,483.434,down,0,4266.680,403.382,483.434
0.07687,493.406,down,0,4273.711,337.411,493.406
0.07022,487.718,down,0,4259.664,344.400,487.718
0.06356,474.045,down,0,4252.262,334.939,474.045
0.05691,505.833,down,0,4271.301,300.265,505.833
0.05025,519.395,down,0,4265.665,370.274,519.395
0.04359,527.102,down,0,4275.987,377.952,527.102
0.03694,725.232,down,0,4270.649,311.792,725.232
0.03028,861.521,down,0,4268.375,491.156,861.521
0.02363,646.351,down,0,4148.543,511.220,646.351
0.01697,505.719,down,0,4057.031,414.680,505.719
0.01032,489.513,down,0,4006.962,413.712,489.513
0.00366,470.973,down,0,3974.404,459.239,470.973
-0.00300,463.168,down,0,3926.906,444.769,463.168
-0.00965,458.979,down,0,3872.196,425.748,458.979
-0.01631,416.926,down,0,3843.636,387.323,416.926
-0.02296,401.530,down,0,3865.418,341.056,401.530
-0.02962,416.028,down,0,3840.045,391.723,416.028
-0.03627,442.066,down,0,3876.626,378.415,442.066
-0.04293,434.940,down,0,3943.374,379.641,434.940
-0.04958,413.080,down,0,3955.997,428.547,413.080
-0.05624,421.128,down,0,3950.198,421.383,421.128
-0.06290,397.856,down,0,3958.069,366.645,397.856
-0.06955,392.439,down,0,3961.828,354.757,392.439
-0.07621,387.640,down,0,3964.860,388.579,387.640
-0.08286,404.617,down,0,3963.911,376.039,404.617
-0.08952,429.586,down,0,3997.268,400.355,429.586
-0.09617,407.138,down,0,4003.441,408.499,407.138
-0.10283,352.228,down,0,3994.609,353.285,352.228
-0.10948,335.519,down,0,3984.523,337.806,335.519
-0.11614,385.395,down,0,3984.896,415.534,385.395
-0.12280,412.923,down,0,3986.491,428.548,412.923
-0.12945,391.874,down,0,3985.226,382.090,391.874
-0.13611,361.398,down,0,3982.446,378.109,361.398
-0.14276,361.234,down,0,3987.106,374.377,361.234
-0.14942,385.080,down,0,3973.437,359.037,385.080
-0.15607,401.612,down,0,3996.887,359.907,401.612
-0.16273,406.673,down,0,4002.500,337.756,406.673
-0.16938,394.777,down,0,4005.335,301.246,394.777
-0.17604,370.492,down,0,3988.864,334.335,370.492
-0.18270,372.662,down,0,3976.308,348.112,372.662
-0.18935,400.031,down,0,3972.730,359.275,400.031
-0.19601,401.569,down,0,3962.595,386.761,401.569
-0.20000,386.266,contact,0,4011.720,389.484,386.266
-0.20000,399.289,contact,0,4062.623,338.708,399.289
-0.20000,407.615,contact,0,4070.805,253.952,407.615
-0.20000,409.896,contact,0,4092.321,286.941,409.896
-0.20000,396.817,contact,0,4097.301,321.385,396.817
-0.20000,376.441,contact,0,4084.712,278.032,376.441
-0.20000,395.264,contact,0,4086.468,273.636,395.264
-0.20000,419.802,contact,0,4082.774,278.411,419.802
-0.20000,428.841,contact,0,4084.860,302.495,428.841
-0.20000,426.507,contact,0,4106.364,324.134,426.507
-0.20000,412.577,contact,0,4102.917,331.503,412.577
-0.20000,400.325,contact,0,4111.466,305.938,400.325
-0.20000,401.145,contact,0,4098.345,278.002,401.145
-0.20000,441.440,contact,0,4113.014,302.499,441.440
-0.20000,454.137,contact,0,4131.131,304.619,454.137
-0.20000,445.826,contact,0,4094.629,324.639,445.826
-0.20000,436.929,contact,0,4112.814,326.425,436.929
-0.20000,407.424,contact,0,4138.090,275.377,407.424
-0.19734,414.544,up,0,4083.760,338.285,414.544
-0.19068,426.590,up,0,4030.825,362.474,426.590
-0.18403,415.057,up,0,4004.159,336.380,415.057
-0.17737,399.379,up,0,3962.249,346.590,399.379
-0.17072,419.414,up,0,3998.751,346.884,419.414
-0.16406,419.397,up,0,3996.982,343.314,419.397
-0.15740,395.231,up,0,3975.673,331.984,395.231
-0.15075,377.954,up,0,3960.808,364.759,377.954
-0.14409,410.783,up,0,3939.380,398.100,410.783
-0.13744,416.535,up,0,3944.738,361.191,416.535
-0.13078,401.533,up,0,3946.163,380.621,401.533
-0.12413,419.463,up,0,3951.552,392.405,419.463
-0.11747,413.334,up,0,3960.020,351.856,413.334
-0.11082,404.811,up,0,3979.664,369.445,404.811
-0.10416,439.626,up,0,3961.382,361.576,439.626
-0.09750,438.783,up,0,3958.876,326.503,438.783
-0.09085,416.883,up,0,3957.213,385.281,416.883
-0.08419,404.507,up,0,3937.094,373.799,404.507
-0.07754,420.253,up,0,3961.747,346.219,420.253
-0.07088,394.986,up,0,3958.411,369.006,394.986
-0.06423,403.390,up,0,3917.535,386.721,403.390
-0.05757,409.319,up,0,3933.111,384.205,409.319
-0.05092,407.402,up,0,3921.007,339.539,407.402
